key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.6702,,,,,,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,0,12,12,0,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.6318,,,,,,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,0,13,13,3,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.8903,,,,,,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,0,14,14,5,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.9314,,,,,,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,0,15,15,9,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.573,,,,,,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,0,16,16,18,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.7748,,,,,,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,0,17,17,4,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.5408,,,,,,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,0,18,18,17,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,main_trial_block1.xlsx,,,,,,,,,,,,,0,0,0,0,1
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.2166,,,,,,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,0,0,0,10,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.055,,,,,,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,0,1,1,9,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.7328,,,,,,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,0,2,2,13,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.6275,,,,,,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,0,3,3,0,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.7001,,,,,,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,0,4,4,6,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.2014,,,,,,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,0,5,5,15,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.0378,,,,,,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,0,6,6,12,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.4125,,,,,,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,0,7,7,11,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.8335,,,,,,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,0,8,8,17,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.5809,,,,,,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,0,9,9,14,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.1261,,,,,,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,0,10,10,5,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.4767,,,,,,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,0,11,11,18,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.302,,,,,,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,0,12,12,7,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.4611,,,,,,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,0,13,13,16,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.7033,,,,,,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,0,14,14,2,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.6496,,,,,,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,0,15,15,4,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.1026,,,,,,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,0,16,16,8,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,4.7593,,,,,,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,0,17,17,1,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,space,5.2818,,,,,,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,0,18,18,3,1,,,,,
,,,,,,,,,,anm149,03-02-2023_07h22.40.748,english_experiment2,2022.1.4,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,main_trial_block2.xlsx,,,,,,,,,,,,,0,1,1,1,1
